w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
196,188,Lalatora,Anandpur,M.P,Lateri,Vidisha,Lateri,31-Oct-2020,Shiksha Kutir,Sahariya (ST) & Jatav(SC) & OBC,
197,189,Chakara,Chakara,M.P,Khalwa,Khandwa,Khalwa,27-Nov-2020,Shiksha Kutir,"Gond,Korku,Bhilala (ST) & Balai (SC)",
198,190,Rehatiya,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,28-Nov-2020,Shiksha Kutir,"Gond,Korku (ST) & OBC",
199,191,Kariyadeh,Kariyadeh,M.P,Karahal,Sheopur,Karahal,28-Nov-2020,Shiksha Kutir,"Sahariya,Bhil (ST) & Jatav(SC) & OBC",
200,192,Patonda,Kariyadeh,M.P,Karahal,Sheopur,Karahal,28-Nov-2020,Shiksha Kutir,"Sahariya,Bhil (ST) & Jatav(SC) & OBC",
201,193,Dawaniya,Chakara,M.P,Khalwa,Khandwa,Khalwa,29-Nov-2020,Study Center,"Gond,Bhilala,Barela Bhil (ST) & OBC",
202,194,Kateela,Sesaipura,M.P,Karahal,Sheopur,Karahal,1-Dec-2020,Shiksha Kutir,"Sahariya,Mogiya (ST) & Jatav(SC) & OBC",
203,195,Chak Rampura,Kariyadeh,M.P,Karahal,Sheopur,Karahal,1-Dec-2020,Shiksha Kutir,Sahariya (ST) & Jatav(SC) & OBC,
204,196,Kotwariya,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,1-Dec-2020,Study Center,"Gond,Korku(ST) & Balai (SC) & OBC",
205,197,Dhimariya,Chakara,M.P,Khalwa,Khandwa,Khalwa,3-Dec-2020,Study Center,"Bhilala,Barela Bhil (ST) ",
206,198,Based,Kuno,M.P,Karahal,Sheopur,Karahal,5-Dec-2020,Shiksha Kutir,Sahariya (ST) & OBC,
207,199,Kheri,Kheri,M.P,Karahal,Sheopur,Karahal,5-Dec-2020,Shiksha Kutir,Sahariya (ST) & Jatav(SC) & OBC,
208,,Chunakhal,,M.P,Khalwa,Khandwa,Khalwa,7-Dec-2020,Closed,"Gond,Korku,Bhilala(ST) & Balai (SC)",
209,200,Shiv Colony,Kheri,M.P,Karahal,Sheopur,Karahal,26-Dec-2020,Shiksha Kutir,Sahariya (ST) & OBC,
210,201,Chak Parond,Bankuri,M.P,Karahal,Sheopur,Karahal,26-Dec-2020,Shiksha Kutir,"Sahariya,Bhil (ST)",
211,202,Dhakana,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,29-Dec-2020,Shiksha Kutir,"Gond,Korku (ST)",
212,203,Sonpura,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,29-Dec-2020,Seva kutir,"Gond,Korku (ST) & OBC",
213,204,Muttor,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,31-Dec-2020,Shiksha Kutir,"Mawasi, Gond(ST) & Deriya,Tandekar(SC) & OBC",
214,205,Gulardhana,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,31-Dec-2020,Study Center,"Gond,Korku (ST)",
215,206,Pargulai,Chakara,M.P,Khalwa,Khandwa,Khalwa,31-Dec-2020,Shiksha Kutir,"Korku,Barela Bhil (ST) ",
216,207,Dongra,Patalkot,M.P,Tamia,Chhindwara,Tamia,11-Jan-2021,Study Center,Gond(ST) & OBC,
217,208,Harrakachhar,Patalkot,M.P,Tamia,Chhindwara,Tamia,11-Jan-2021,Study Center,"Bhariya,Gond (ST)",
218,209,Rated,Patalkot,M.P,Tamia,Chhindwara,Tamia,11-Jan-2021,Study Center,Bhariya (ST),
219,210,Karrai,Gadhla,M.P,Karahal,Sheopur,Karahal,14-Jan-2021,Shiksha Kutir,Sahariya (ST) & OBC,
220,211,Hathedi,Moravan,M.P,Karahal,Sheopur,Karahal,14-Jan-2021,Shiksha Kutir,Sahariya (ST),
221,212,Bandarhar,Bhotoopura,M.P,Karahal,Sheopur,Karahal,19-Jan-2021,Shiksha Kutir,Sahariya (ST),
222,213,Sondhni,Kariyadeh,M.P,Karahal,Sheopur,Karahal,19-Jan-2021,Shiksha Kutir,Sahariya (ST) & OBC,
223,214,Odhari,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,22-Jan-2021,Shiksha Kutir,Gond(ST) & OBC,
224,215,Jhina,Machla,M.P,Ghughari,Mandla,Mohgaon,23-Jan-2021,Study Center,Baiga & Gond (ST) & OBC,
225,216,Dova ka Sahrana,Silpuri,M.P,Karahal,Sheopur,Karahal,25-Jan-2021,Shiksha Kutir,Sahariya (ST),
226,217,Piprani,Gadhla,M.P,Karahal,Sheopur,Karahal,25-Jan-2021,Shiksha Kutir,Sahariya (ST) & Harijan(SC) & OBC,
227,218,Bakarjun,Chakara,M.P,Khalwa,Khandwa,Khalwa,25-Jan-2021,Shiksha Kutir,Gond(ST) & OBC,
228,219,Dholgaon,Chakara,M.P,Khalwa,Khandwa,Khalwa,25-Jan-2021,Shiksha Kutir,"Gond,Korku,Barela Bhil (ST) ",
229,220,Reechhee,Dhava,M.P,Karahal,Sheopur,Karahal,31-Jan-2021,Seva kutir,"Sahariya (ST) & Jatav,Moghia(SC) & OBC",
230,221,Jharer,Budhera,M.P,Karahal,Sheopur,Karahal,31-Jan-2021,Shiksha Kutir,Sahariya (ST) & OBC,
231,222,Dhamaukhedi,Anandpur,M.P,Sironj,Vidisha,Lateri,2-Feb-2021,Shiksha Kutir,Sahariya (ST) & Ahirwar (SC) & OBC,
232,223,Dhamaukhedi-2,Anandpur,M.P,Sironj,Vidisha,Lateri,2-Feb-2021,Study Center,OBC,
233,224,Ratidhay,Anandpur,M.P,Sironj,Vidisha,Lateri,2-Feb-2021,Shiksha Kutir,Sahariya (ST) & OBC,
234,225,Banarsena,Anandpur,M.P,Lateri,Vidisha,Lateri,3-Feb-2021,Shiksha Kutir,Sapera (SC),
235,226,Rajdhana,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,3-Feb-2021,Shiksha Kutir,"Bhariya,Gond(ST) & Katiya(SC) & OBC",
236,227,Batra,Patalkot,M.P,Tamia,Chhindwara,Tamia,4-Feb-2021,Study Center,Gond (ST),
237,228,Bhoorwada,Tongra,M.P,Karahal,Sheopur,Karahal,20-Feb-2021,Seva kutir,Sahariya (ST) & OBC,
238,229,Chak Majitpur,Aawda,M.P,Karahal,Sheopur,Karahal,20-Feb-2021,Seva kutir,Sahariya (ST) & Jatav(SC) & OBC,
239,230,Dhobiwada,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,21-Feb-2021,Study Center,Gond (ST),
240,231,Satalwah,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,22-Feb-2021,Study Center,Gond (ST),
241,232,Ghanakaudiya,Markadhana,M.P,Tamia,Chhindwara,Tamia,22-Feb-2021,Shiksha Kutir,"Bhariya,Gond (ST)",
242,233,Kotwariya Vangram,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,22-Feb-2021,Shiksha Kutir,"Gond,Korku,Barela Bhil(ST) ",
243,234,Jharikheda,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,22-Feb-2021,Study Center,"Gond,Korku(ST) & Harijan(SC) & OBC",
244,235,Jhirniya,Tongra,M.P,Karahal,Sheopur,Karahal,24-Feb-2021,Seva kutir,Sahariya (ST) & Jatav(SC) & OBC,
245,236,Bhawarkuwa,Tongra,M.P,Karahal,Sheopur,Karahal,24-Feb-2021,Shiksha Kutir,Sahariya (ST),
246,237,Chimtipur,Patalkot,M.P,Tamia,Chhindwara,Tamia,28-Feb-2021,Study Center,"Bhariya,Gond (ST)",
247,238,Jharela,Budhera,M.P,Karahal,Sheopur,Karahal,28-Feb-2021,Seva kutir,"Sahariya,Bhil & Pateliya(ST)",
248,239,Patalgadh,Budhera,M.P,Karahal,Sheopur,Karahal,28-Feb-2021,Seva kutir,Sahariya (ST) & Moghia(SC) & OBC,
249,240,Chadida,Kekadiya,M.P,Khalwa,Khandwa,Khalwa,1-Mar-2021,Seva kutir,"Gond,Korku,Barela Bhil(ST) ",
250,241,Kekadiya,Kekadiya,M.P,Khalwa,Khandwa,Khalwa,1-Mar-2021,Seva kutir,"Gond,Korku (ST)",
251,242,Khapripani,Dhond,M.P,Bajag,Dindori,Bajag,5-Mar-2021,Shiksha Kutir,"Baiga,Gond (ST) & OBC",
252,243,Pathera Chandu,Anandpur,M.P,Lateri,Vidisha,Lateri,5-Mar-2021,Shiksha Kutir,Sahariya (ST) & Ahirwar(SC) & OBC,
253,244,Gadha Ghat,Anandpur,M.P,Lateri,Vidisha,Lateri,6-Mar-2021,Shiksha Kutir,Sahariya (ST),
254,245,Rampur,Anandpur,M.P,Sironj,Vidisha,Sironj,7-Mar-2021,Shiksha Kutir,Sahariya (ST) & OBC,
255,246,Baigantola,Dhond,M.P,Bajag,Dindori,Bajag,8-Mar-2021,Shiksha Kutir,"Baiga,Gond (ST) & OBC",
256,247,Shitalpani,Silpidi,M.P,Bajag,Dindori,Bajag,18-Mar-2021,Study Center,"Baiga,Gond (ST) & OBC",
257,248,Turritola,Dhanoli,M.P,Bajag,Dindori,Bajag,18-Mar-2021,Study Center,"Baiga,Gond (ST) & OBC",
258,249,Chattu Battu,Kekadiya,M.P,Khalwa,Khandwa,Khalwa,20-Mar-2021,Shiksha Kutir,"Gond,Korku (ST)",
259,250,Mathni,Kekadiya,M.P,Khalwa,Khandwa,Khalwa,20-Mar-2021,Seva kutir,"Gond,Korku (ST)",
260,251,Rajpura,Tongra,M.P,Karahal,Sheopur,Karahal,21-Mar-2021,Shiksha Kutir,Sahariya (ST) & Harijan(SC),
261,252,Tongra,Tongra,M.P,Karahal,Sheopur,Karahal,21-Mar-2021,Seva kutir,Sahariya (ST),
262,253,Gonawadi,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,22-Mar-2021,Shiksha Kutir,Gond (ST) & Katiya(SC) & OBC,
263,254,Thanakheda,Markadhana,M.P,Tamia,Chhindwara,Tamia,22-Mar-2021,Shiksha Kutir,Gond (ST) & Mehra(SC),
264,255,Nayagaon,Pahadi,M.P,Karahal,Sheopur,Karahal,4-Apr-2021,Seva kutir,"Bhil,Bhilala (ST)",
265,256,Baghchakrana,Moravan,M.P,Karahal,Sheopur,Karahal,4-Apr-2021,Shiksha Kutir,Sahariya (ST),
266,257,Chikhlatola,Silpidi,M.P,Bajag,Dindori,Bajag,11-Apr-2021,Study Center,"Baiga,Gond (ST)",
267,258,Bhadratola,Pathariya,M.P,Bajag,Dindori,Bajag,11-Apr-2021,Shiksha Kutir,"Baiga,Gond (ST) & OBC",
268,259,Kotagadh,Budhera,M.P,Karahal,Sheopur,Karahal,11-Jun-2021,Seva kutir,"Sahariya,Bhil,Pateliya(ST) & OBC",
269,260,Simroniya,Budhera,M.P,Karahal,Sheopur,Karahal,11-Jun-2021,Seva kutir,Sahariya (ST) & OBC,
270,261,Gandhigaon,Bhela,M.P,Karahal,Sheopur,Karahal,27-Jun-2021,Seva kutir,Sahariya (ST),
271,262,Bhela,Bhela,M.P,Karahal,Sheopur,Karahal,27-Jun-2021,Seva kutir,Sahariya (ST),
272,263,Ajnoi,Heerapur,M.P,Karahal,Sheopur,Karahal,27-Jun-2021,Seva kutir,Sahariya (ST),
273,264,Bhimlat,Bhela,M.P,Karahal,Sheopur,Karahal,27-Jun-2021,Seva kutir,Sahariya (ST),
274,265,Pipariya,Jalda,M.P,Bajag,Dindori,Bajag,30-Jun-2021,Shiksha Kutir,Baiga(ST) & OBC,
275,266,Sendurkhar,Jalda,M.P,Bajag,Dindori,Bajag,30-Jun-2021,Shiksha Kutir,Baiga(ST) & OBC,
276,267,Pachgoldhana,Patalkot,M.P,Tamia,Chhindwara,Tamia,8-Jul-2021,Study Center,Bhariya (ST),
277,268,Bhainskhoh,Belpathar,M.P,Tamia,Chhindwara,Tamia,8-Jul-2021,Study Center,Bhariya (ST),
278,269,Jalda,Jalda,M.P,Bajag,Dindori,Bajag,12-Jul-2021,Shiksha Kutir,Baiga(ST) & OBC,
279,270,Kathariya,Jalda,M.P,Bajag,Dindori,Bajag,12-Jul-2021,Shiksha Kutir,Baiga(ST) & OBC,
280,271,Bijatola,Belpathar,M.P,Harrai,Chhindwara,Harrai,15-Jul-2021,Study Center,Bhariya (ST) & OBC,
281,272,Karrapani,Markadhana,M.P,Tamia,Chhindwara,Tamia,16-Jul-2021,Shiksha Kutir,Bhariya (ST),
282,273,Kumhar Kheda,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,16-Jul-2021,Seva kutir,"Gond,Korku,Barela Bhil(ST) ",
283,274,Mirikheda,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,16-Jul-2021,Study Center,"Gond,Korku,Barela Bhil(ST) & Harijan(SC)",
284,275,Savdi,Bhela,M.P,Karahal,Sheopur,Karahal,18-Jul-2021,Seva kutir,Sahariya (ST),
285,276,Dhava,Dhava,M.P,Karahal,Sheopur,Karahal,18-Jul-2021,Seva kutir,Sahariya (ST),
286,277,Gadhadiya,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,20-Jul-2021,Seva kutir,"Gond,Korku (ST)",
287,278,Chiktalai,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,20-Jul-2021,Seva kutir,"Gond,Korku,Barela Bhil,Bhilala(ST), Balai(SC) & OBC",
288,279,Mohiniya Dhana,Junapani,M.P,Khalwa,Khandwa,Khalwa,21-Jul-2021,Seva kutir,"Gond,Korku,Barela Bhil,Bhilala(ST), Balai(SC) & OBC",
289,280,Saliya Kheda,Junapani,M.P,Khalwa,Khandwa,Khalwa,21-Jul-2021,Seva kutir,"Gond,Korku,Barela Bhil(ST), Balai(SC) & OBC",
290,281,Richadi Kheda,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,22-Jul-2021,Shiksha Kutir,"Gond,Korku,Barela Bhil,Bhilala(ST) & OBC",
291,,Saidabad,,M.P,Khalwa,Khandwa,Khalwa,22-Jul-2021,Closed,Korku (ST),
292,282,Kerka,Dhava,M.P,Karahal,Sheopur,Karahal,22-Jul-2021,Seva kutir,Sahariya (ST),
293,283,Bhojka,Aawda,M.P,Karahal,Sheopur,Karahal,22-Jul-2021,Seva kutir,Sahariya (ST) & OBC,
294,284,Kalmi,Dhava,M.P,Karahal,Sheopur,Karahal,24-Jul-2021,Seva kutir,Sahariya (ST) & OBC,
295,285,Sarjupura,Pyaripura,M.P,Karahal,Sheopur,Karahal,24-Jul-2021,Seva kutir,Sahariya (ST) & OBC,
296,286,Mirpur,Junapani,M.P,Khalwa,Khandwa,Khalwa,29-Jul-2021,Shiksha Kutir,"Gond,Korku,Barela Bhil,Bhilala,Takiya (ST), Balai(SC) & OBC",
297,287,Talyadhad,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,29-Jul-2021,Shiksha Kutir,"Gond,Korku,Barela Bhil,Bhilala(ST) ",
298,288,Kakardha,Bhela,M.P,Karahal,Sheopur,Karahal,29-Jul-2021,Seva kutir,Sahariya (ST),
299,289,Bansraiya,Kuno,M.P,Karahal,Sheopur,Karahal,30-Jul-2021,Shiksha Kutir,Sahariya (ST) & OBC,
300,290,Balusar,Chargaon,M.P,Harrai,Chhindwara,Harrai,30-Jul-2021,Study Center,"Bhariya,Gond (ST)",
301,291,Digdhar,Chargaon,M.P,Harrai,Chhindwara,Harrai,30-Jul-2021,Study Center,"Bhariya,Gond (ST)",
302,292,Labeda,Dhond,M.P,Bajag,Dindori,Bajag,30-Jul-2021,Shiksha Kutir,Gond (ST) & OBC,
303,293,Mangarh,Jalda,M.P,Bajag,Dindori,Bajag,30-Jul-2021,Shiksha Kutir,Gond (ST) & OBC,
304,294,Damgarh,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Jul-2021,Study Center,"Baiga,Gond (ST) & OBC",
305,295,Pharrisemar,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Jul-2021,Study Center,"Baiga,Gond (ST) & OBC",
306,296,Kalitalai,Bhela,M.P,Karahal,Sheopur,Karahal,31-Jul-2021,Seva kutir,Sahariya (ST),
307,297,Davli,Heerapur,M.P,Karahal,Sheopur,Karahal,31-Jul-2021,Seva kutir,Sahariya (ST) & OBC,
308,298,Baghi,Chargaon,M.P,Harrai,Chhindwara,Harrai,9-Aug-2021,Study Center,Bhariya (ST) & OBC,
309,299,Madhi,Chargaon,M.P,Harrai,Chhindwara,Harrai,9-Aug-2021,Study Center,Bhariya (ST) & OBC,
310,300,Jaleshwar Tola,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,15-Aug-2021,Study Center,"Baiga,Gond (ST)",
311,301,Sarhakona,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,15-Aug-2021,Study Center,"Baiga,Gond (ST) & OBC",
312,302,Ankhawadi,Belpathar,M.P,Harrai,Chhindwara,Harrai,15-Aug-2021,Study Center,"Bhariya,Gond (ST) & OBC",
313,303,Chargaon,Chargaon,M.P,Harrai,Chhindwara,Harrai,17-Aug-2021,Study Center,"Bhariya,Gond (ST) & OBC",
314,304,Miriya,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,17-Aug-2021,Study Center,"Baiga,Gond (ST)",
315,305,Guguwa Kapa,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,17-Aug-2021,Study Center,"Baiga,Gond (ST) & OBC",
316,306,Rater,Chargaon,M.P,Harrai,Chhindwara,Harrai,20-Aug-2021,Shiksha Kutir,Gond (ST) & OBC,
317,307,Tatighat,Churikala,M.P,Harrai,Chhindwara,Harrai,20-Aug-2021,Shiksha Kutir,Gond (ST) & Katiya(SC),
318,308,Pindrukhi Mal,Dhond,M.P,Bajag,Dindori,Bajag,26-Aug-2021,Shiksha Kutir,Gond (ST) & OBC,
319,309,Dhond,Dhond,M.P,Bajag,Dindori,Bajag,26-Aug-2021,Shiksha Kutir,Gond (ST) & Harijan (SC) & OBC,
320,310,Dhadhdu Tola,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-Aug-2021,Study Center,Baiga(ST) & OBC,
321,311,Gadhidadar,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-Aug-2021,Study Center,"Baiga,Gond (ST) & OBC",
322,312,Ambapath,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,29-Aug-2021,Seva kutir,"Korku,Barela Bhil (ST)",
323,313,Khari,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,29-Aug-2021,Seva kutir,"Gond,Korku,Barela Bhil,Bhilala(ST)",
324,314,Palanga,Karida,M.P,Bhainsdehi,Betul,Bhimpur,29-Aug-2021,Seva kutir,"Gond,Korku (ST)",
325,315,Uttari,Titvi,M.P,Bhainsdehi,Betul,Bhimpur,30-Aug-2021,Shiksha Kutir,"Gond,Korku (ST) & Harijan (SC) & OBC",
326,316,Gaildubba,Markadhana,M.P,Tamia,Chhindwara,Tamia,30-Aug-2021,Study Center,Bhariya (ST),
327,317,Devli Khurd,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,30-Aug-2021,Shiksha Kutir,"Gond,Korku,Barela Bhil,Bhilala(ST) & OBC",
328,318,Dudhkundiya,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,30-Aug-2021,Study Center,"Gond,Korku,Barela Bhil,Bhilala(ST) & Harijan(SC)",
329,319,Manpura,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,30-Aug-2021,Study Center,"Gond,Korku,Bhilala,Dhanvar(ST) & Harijan(SC) & OBC",
330,320,Bagda,Kekadiya,M.P,Khalwa,Khandwa,Khalwa,30-Aug-2021,Seva kutir,"Gond,Korku (ST) & OBC",
331,321,Jhiridhana,Kekadiya,M.P,Khalwa,Khandwa,Khalwa,30-Aug-2021,Seva kutir,"Korku,Barela Bhil (ST)",
332,322,Kunkhedi,Karida,M.P,Bhainsdehi,Betul,Bhimpur,31-Aug-2021,Seva kutir,"Gond,Korku (ST) & Harijan (SC) & OBC",
333,323,Dumartola Raiyat,Dhond,M.P,Bajag,Dindori,Bajag,31-Aug-2021,Study Center,Gond (ST) & OBC,
334,324,Khirsari,Pathariya,M.P,Bajag,Dindori,Bajag,31-Aug-2021,Shiksha Kutir,Gond (ST) & OBC,
335,325,Champakheda,Champakheda,M.P,Harrai,Chhindwara,Harrai,31-Aug-2021,Study Center,"Gond, Pardhan (ST)",
336,326,Borpani,Champakheda,M.P,Harrai,Chhindwara,Harrai,31-Aug-2021,Study Center,Sahariya (ST) & Katiya (SC),
337,327,Partwada,Silpuri,M.P,Karahal,Sheopur,Karahal,3-Sep-2021,Seva kutir,Sahariya (ST) & Jatav (SC) & OBC,
338,328,Kurachor Khurd,Kuno,M.P,Karahal,Sheopur,Karahal,3-Sep-2021,Shiksha Kutir,Sahariya(ST),
339,329,Khirkighat,Chargaon,M.P,Harrai,Chhindwara,Harrai,7-Sep-2021,Study Center,Bhariya (ST) & OBC,
340,330,Pando,Chargaon,M.P,Harrai,Chhindwara,Harrai,7-Sep-2021,Study Center,Bhariya (ST),
341,331,Chopna,Dungariya,M.P,Harrai,Chhindwara,Harrai,9-Sep-2021,Study Center,"Gond, Pardhan (ST) & OBC",
342,332,Saldhana,Champakheda,M.P,Harrai,Chhindwara,Harrai,9-Sep-2021,Shiksha Kutir,Gond (ST) & Katiya (SC) & OBC,
343,333,Karida,Karida,M.P,Bhainsdehi,Betul,Bhimpur,9-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Balai (SC) & OBC",
344,334,Bijori,Karida,M.P,Bhainsdehi,Betul,Bhimpur,9-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
345,335,Bori,Karida,M.P,Bhainsdehi,Betul,Bhimpur,10-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
346,336,Resham Kendra,Kuno,M.P,Karahal,Sheopur,Karahal,12-Sep-2021,Seva kutir,Sahariya(ST),
347,337,Sesaipura,Sesaipura,M.P,Karahal,Sheopur,Karahal,12-Sep-2021,Shiksha Kutir,Sahariya(ST),
348,338,Panwada,Silpuri,M.P,Karahal,Sheopur,Karahal,12-Sep-2021,Seva kutir,Sahariya(ST) & Jatav (SC) & OBC,
349,339,Silpuri,Silpuri,M.P,Karahal,Sheopur,Karahal,12-Sep-2021,Shiksha Kutir,"Sahariya,Bhil,Pateliya (ST) & Jatav (SC) & OBC",
350,340,Dodajam,Titvi,M.P,Bhainsdehi,Betul,Bhimpur,13-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Harijan (SC) & OBC",
351,341,Maidandhana,Karida,M.P,Bhainsdehi,Betul,Bhimpur,13-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
352,342,Barra Tingariya,Karida,M.P,Bhainsdehi,Betul,Bhimpur,13-Sep-2021,Shiksha Kutir,Korku (ST),
353,343,Pussudhana,Champakheda,M.P,Harrai,Chhindwara,Harrai,13-Sep-2021,Shiksha Kutir,Gond (ST),
354,344,Mukakheda,Champakheda,M.P,Harrai,Chhindwara,Harrai,13-Sep-2021,Shiksha Kutir,Gond (ST),
355,345,Tingariya,Karida,M.P,Bhainsdehi,Betul,Bhimpur,17-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
356,346,Bhatbori,Titvi,M.P,Bhainsdehi,Betul,Bhimpur,17-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
357,347,Aanki,Titvi,M.P,Bhainsdehi,Betul,Bhimpur,17-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Balai (SC)",
358,348,Nimodamath,Bhela,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Balai (SC)",
359,349,Pahela,Dhava,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Seva kutir,Sahariya (ST) & Jatav(SC) & OBC,
360,350,Panar,Dhava,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Seva kutir,Sahariya(ST),
361,351,Badh,Kheri,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Study Center,Sahariya (ST) & OBC,
362,,Sirsanwadi,,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Closed,Sahariya(ST),
363,352,Awada,Aawda,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Seva kutir,Sahariya(ST),
364,353,Chitara,Pahadi,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Shiksha Kutir,Sahariya(ST),
365,354,Masawani,Aawda,M.P,Karahal,Sheopur,Karahal,19-Sep-2021,Seva kutir,Sahariya(ST),
366,355,Naguli Dadar,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,19-Sep-2021,Study Center,"Baiga,Gond (ST) & OBC",
367,356,Deori Dadar,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,19-Sep-2021,Study Center,"Baiga,Gond,Agariya (ST) & OBC",
368,,Karaunda Pani,,M.P,Pushprajgarh,Anuppur,Pushprajgarh,19-Sep-2021,Closed,"Baiga,Gond (ST) & Kanojiya,Chandrawanshi (SC)",
369,357,Padariya,Dungariya,M.P,Harrai,Chhindwara,Harrai,19-Sep-2021,Shiksha Kutir,Gond (ST) & Katiya (SC) & OBC,
370,358,Gangai,Champakheda,M.P,Harrai,Chhindwara,Harrai,19-Sep-2021,Study Center,"Bhariya,Gond (ST) & OBC",
371,359,Neemtola,Pathariya,M.P,Bajag,Dindori,Bajag,19-Sep-2021,Study Center,Gond (ST) & OBC,
372,360,Dadartola,Silpidi,M.P,Bajag,Dindori,Bajag,19-Sep-2021,Study Center,"Baiga,Gond (ST)",
373,361,Silpidi,Silpidi,M.P,Bajag,Dindori,Bajag,19-Sep-2021,Study Center,"Baiga,Gond (ST) & OBC",
374,362,Tantar,Silpidi,M.P,Bajag,Dindori,Bajag,19-Sep-2021,Study Center,"Baiga,Gond (ST) & OBC",
375,363,Titvi,Titvi,M.P,Bhimpur,Betul,Bhimpur,21-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Balai (SC)",
376,364,Jamundhana,Titvi,M.P,Bhimpur,Betul,Bhimpur,21-Sep-2021,Seva kutir,Gond(ST),
377,365,Potla,Titvi,M.P,Bhimpur,Betul,Bhimpur,22-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Lohar,Kotwar (SC)",
378,366,Jogli,Hidali,M.P,Bhimpur,Betul,Bhimpur,22-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
379,367,Barra Uttari,Titvi,M.P,Bhainsdehi,Betul,Bhimpur,23-Sep-2021,Seva kutir,"Gond,Korku (ST)",
380,368,Pateldhana,Karida,M.P,Bhainsdehi,Betul,Bhimpur,23-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Balai (SC)",
381,369,Paat,Jeerudhana,M.P,Bhimpur,Betul,Bhimpur,25-Sep-2021,Seva kutir,Gond (ST) & OBC,
382,370,Gadakhar,Jeerudhana,M.P,Bhimpur,Betul,Bhimpur,25-Sep-2021,Shiksha Kutir,Gond (ST) & Balai (SC),
383,371,Sitapur,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,25-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
384,372,Utti,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,26-Sep-2021,Seva kutir,"Gond,Korku (ST) & Kotwar (SC)",
385,373,Lakhajhiri,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,26-Sep-2021,Shiksha Kutir,"Gond,Korku (ST) & Lohar (SC)",
386,374,Beldhana,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,26-Sep-2021,Shiksha Kutir,Korku (ST) & Lohar (SC),
387,375,Chak Colony,Kuno,M.P,Karahal,Sheopur,Karahal,26-Sep-2021,Shiksha Kutir,Sahariya (ST),
